sample_id,source_sample_id,vehicle_id,source_absolute_path,original_length,target_length,regularization_method,long_mode,window_index,window_start_index,window_end_index,label_absolute_path,label_delta_displacement_path,start_path,max_reconstruction_error,coordinate_type,valid_or_skipped,skip_reason
sample_000027,sample_000027,veh10020,/home/jliu/Thesis/week05/data/delta_displacement_paired/labels_absolute/sample_000027.npy,103,224,bounce_reflect_padding,truncate,0,0,103,labels_absolute/sample_000027.npy,labels_delta_displacement/sample_000027.npy,starts/sample_000027.npy,2.2737367544323206e-13,delta_displacement_xy_regularized_224,valid,
sample_000028,sample_000028,veh10021,/home/jliu/Thesis/week05/data/delta_displacement_paired/labels_absolute/sample_000028.npy,208,224,bounce_reflect_padding,truncate,0,0,208,labels_absolute/sample_000028.npy,labels_delta_displacement/sample_000028.npy,starts/sample_000028.npy,4.547473508864641e-13,delta_displacement_xy_regularized_224,valid,
sample_000029,sample_000029,veh10022,/home/jliu/Thesis/week05/data/delta_displacement_paired/labels_absolute/sample_000029.npy,98,224,bounce_reflect_padding,truncate,0,0,98,labels_absolute/sample_000029.npy,labels_delta_displacement/sample_000029.npy,starts/sample_000029.npy,0.0,delta_displacement_xy_regularized_224,valid,
sample_000030,sample_000030,veh10023,/home/jliu/Thesis/week05/data/delta_displacement_paired/labels_absolute/sample_000030.npy,100,224,bounce_reflect_padding,truncate,0,0,100,labels_absolute/sample_000030.npy,labels_delta_displacement/sample_000030.npy,starts/sample_000030.npy,0.0,delta_displacement_xy_regularized_224,valid,
sample_000031,sample_000031,veh10024,/home/jliu/Thesis/week05/data/delta_displacement_paired/labels_absolute/sample_000031.npy,70,224,bounce_reflect_padding,truncate,0,0,70,labels_absolute/sample_000031.npy,labels_delta_displacement/sample_000031.npy,starts/sample_000031.npy,0.0,delta_displacement_xy_regularized_224,valid,
sample_000032,sample_000032,veh10025,/home/jliu/Thesis/week05/data/delta_displacement_paired/labels_absolute/sample_000032.npy,108,224,bounce_reflect_padding,truncate,0,0,108,labels_absolute/sample_000032.npy,labels_delta_displacement/sample_000032.npy,starts/sample_000032.npy,0.0,delta_displacement_xy_regularized_224,valid,
sample_000033,sample_000033,veh10026,/home/jliu/Thesis/week05/data/delta_displacement_paired/labels_absolute/sample_000033.npy,158,224,bounce_reflect_padding,truncate,0,0,158,labels_absolute/sample_000033.npy,labels_delta_displacement/sample_000033.npy,starts/sample_000033.npy,0.0,delta_displacement_xy_regularized_224,valid,
sample_000034,sample_000034,veh10027,/home/jliu/Thesis/week05/data/delta_displacement_paired/labels_absolute/sample_000034.npy,72,224,bounce_reflect_padding,truncate,0,0,72,labels_absolute/sample_000034.npy,labels_delta_displacement/sample_000034.npy,starts/sample_000034.npy,0.0,delta_displacement_xy_regularized_224,valid,
sample_000035,sample_000035,veh10028,/home/jliu/Thesis/week05/data/delta_displacement_paired/labels_absolute/sample_000035.npy,141,224,bounce_reflect_padding,truncate,0,0,141,labels_absolute/sample_000035.npy,labels_delta_displacement/sample_000035.npy,starts/sample_000035.npy,0.0,delta_displacement_xy_regularized_224,valid,
sample_000036,sample_000036,veh10029,/home/jliu/Thesis/week05/data/delta_displacement_paired/labels_absolute/sample_000036.npy,235,224,truncate_first_224,truncate,0,0,224,labels_absolute/sample_000036.npy,labels_delta_displacement/sample_000036.npy,starts/sample_000036.npy,0.0,delta_displacement_xy_regularized_224,valid,
sample_000037,sample_000037,veh1003,/home/jliu/Thesis/week05/data/delta_displacement_paired/labels_absolute/sample_000037.npy,149,224,bounce_reflect_padding,truncate,0,0,149,labels_absolute/sample_000037.npy,labels_delta_displacement/sample_000037.npy,starts/sample_000037.npy,0.0,delta_displacement_xy_regularized_224,valid,
sample_000038,sample_000038,veh10030,/home/jliu/Thesis/week05/data/delta_displacement_paired/labels_absolute/sample_000038.npy,148,224,bounce_reflect_padding,truncate,0,0,148,labels_absolute/sample_000038.npy,labels_delta_displacement/sample_000038.npy,starts/sample_000038.npy,1.0231815394945443e-12,delta_displacement_xy_regularized_224,valid,
sample_000039,sample_000039,veh10031,/home/jliu/Thesis/week05/data/delta_displacement_paired/labels_absolute/sample_000039.npy,265,224,truncate_first_224,truncate,0,0,224,labels_absolute/sample_000039.npy,labels_delta_displacement/sample_000039.npy,starts/sample_000039.npy,0.0,delta_displacement_xy_regularized_224,valid,
sample_000040,sample_000040,veh10032,/home/jliu/Thesis/week05/data/delta_displacement_paired/labels_absolute/sample_000040.npy,238,224,truncate_first_224,truncate,0,0,224,labels_absolute/sample_000040.npy,labels_delta_displacement/sample_000040.npy,starts/sample_000040.npy,0.0,delta_displacement_xy_regularized_224,valid,
sample_000041,sample_000041,veh10033,/home/jliu/Thesis/week05/data/delta_displacement_paired/labels_absolute/sample_000041.npy,79,224,bounce_reflect_padding,truncate,0,0,79,labels_absolute/sample_000041.npy,labels_delta_displacement/sample_000041.npy,starts/sample_000041.npy,0.0,delta_displacement_xy_regularized_224,valid,
sample_000042,sample_000042,veh10034,/home/jliu/Thesis/week05/data/delta_displacement_paired/labels_absolute/sample_000042.npy,273,224,truncate_first_224,truncate,0,0,224,labels_absolute/sample_000042.npy,labels_delta_displacement/sample_000042.npy,starts/sample_000042.npy,2.2737367544323206e-13,delta_displacement_xy_regularized_224,valid,
sample_000043,sample_000043,veh10035,/home/jliu/Thesis/week05/data/delta_displacement_paired/labels_absolute/sample_000043.npy,153,224,bounce_reflect_padding,truncate,0,0,153,labels_absolute/sample_000043.npy,labels_delta_displacement/sample_000043.npy,starts/sample_000043.npy,0.0,delta_displacement_xy_regularized_224,valid,
sample_000044,sample_000044,veh10036,/home/jliu/Thesis/week05/data/delta_displacement_paired/labels_absolute/sample_000044.npy,241,224,truncate_first_224,truncate,0,0,224,labels_absolute/sample_000044.npy,labels_delta_displacement/sample_000044.npy,starts/sample_000044.npy,0.0,delta_displacement_xy_regularized_224,valid,
sample_000045,sample_000045,veh10037,/home/jliu/Thesis/week05/data/delta_displacement_paired/labels_absolute/sample_000045.npy,133,224,bounce_reflect_padding,truncate,0,0,133,labels_absolute/sample_000045.npy,labels_delta_displacement/sample_000045.npy,starts/sample_000045.npy,0.0,delta_displacement_xy_regularized_224,valid,
sample_000046,sample_000046,veh10038,/home/jliu/Thesis/week05/data/delta_displacement_paired/labels_absolute/sample_000046.npy,158,224,bounce_reflect_padding,truncate,0,0,158,labels_absolute/sample_000046.npy,labels_delta_displacement/sample_000046.npy,starts/sample_000046.npy,0.0,delta_displacement_xy_regularized_224,valid,
sample_000047,sample_000047,veh10039,/home/jliu/Thesis/week05/data/delta_displacement_paired/labels_absolute/sample_000047.npy,47,224,bounce_reflect_padding,truncate,0,0,47,labels_absolute/sample_000047.npy,labels_delta_displacement/sample_000047.npy,starts/sample_000047.npy,0.0,delta_displacement_xy_regularized_224,valid,
sample_000048,sample_000048,veh1004,/home/jliu/Thesis/week05/data/delta_displacement_paired/labels_absolute/sample_000048.npy,260,224,truncate_first_224,truncate,0,0,224,labels_absolute/sample_000048.npy,labels_delta_displacement/sample_000048.npy,starts/sample_000048.npy,0.0,delta_displacement_xy_regularized_224,valid,
sample_000049,sample_000049,veh10040,/home/jliu/Thesis/week05/data/delta_displacement_paired/labels_absolute/sample_000049.npy,90,224,bounce_reflect_padding,truncate,0,0,90,labels_absolute/sample_000049.npy,labels_delta_displacement/sample_000049.npy,starts/sample_000049.npy,0.0,delta_displacement_xy_regularized_224,valid,
sample_000050,sample_000050,veh10041,/home/jliu/Thesis/week05/data/delta_displacement_paired/labels_absolute/sample_000050.npy,57,224,bounce_reflect_padding,truncate,0,0,57,labels_absolute/sample_000050.npy,labels_delta_displacement/sample_000050.npy,starts/sample_000050.npy,0.0,delta_displacement_xy_regularized_224,valid,
sample_000051,sample_000051,veh10042,/home/jliu/Thesis/week05/data/delta_displacement_paired/labels_absolute/sample_000051.npy,211,224,bounce_reflect_padding,truncate,0,0,211,labels_absolute/sample_000051.npy,labels_delta_displacement/sample_000051.npy,starts/sample_000051.npy,0.0,delta_displacement_xy_regularized_224,valid,
sample_000052,sample_000052,veh10043,/home/jliu/Thesis/week05/data/delta_displacement_paired/labels_absolute/sample_000052.npy,288,224,truncate_first_224,truncate,0,0,224,labels_absolute/sample_000052.npy,labels_delta_displacement/sample_000052.npy,starts/sample_000052.npy,0.0,delta_displacement_xy_regularized_224,valid,
sample_000053,sample_000053,veh10044,/home/jliu/Thesis/week05/data/delta_displacement_paired/labels_absolute/sample_000053.npy,122,224,bounce_reflect_padding,truncate,0,0,122,labels_absolute/sample_000053.npy,labels_delta_displacement/sample_000053.npy,starts/sample_000053.npy,0.0,delta_displacement_xy_regularized_224,valid,
sample_000054,sample_000054,veh10045,/home/jliu/Thesis/week05/data/delta_displacement_paired/labels_absolute/sample_000054.npy,180,224,bounce_reflect_padding,truncate,0,0,180,labels_absolute/sample_000054.npy,labels_delta_displacement/sample_000054.npy,starts/sample_000054.npy,7.958078640513122e-13,delta_displacement_xy_regularized_224,valid,
sample_000055,sample_000055,veh10046,/home/jliu/Thesis/week05/data/delta_displacement_paired/labels_absolute/sample_000055.npy,247,224,truncate_first_224,truncate,0,0,224,labels_absolute/sample_000055.npy,labels_delta_displacement/sample_000055.npy,starts/sample_000055.npy,0.0,delta_displacement_xy_regularized_224,valid,
sample_000056,sample_000056,veh10047,/home/jliu/Thesis/week05/data/delta_displacement_paired/labels_absolute/sample_000056.npy,144,224,bounce_reflect_padding,truncate,0,0,144,labels_absolute/sample_000056.npy,labels_delta_displacement/sample_000056.npy,starts/sample_000056.npy,0.0,delta_displacement_xy_regularized_224,valid,
sample_000057,sample_000057,veh10048,/home/jliu/Thesis/week05/data/delta_displacement_paired/labels_absolute/sample_000057.npy,208,224,bounce_reflect_padding,truncate,0,0,208,labels_absolute/sample_000057.npy,labels_delta_displacement/sample_000057.npy,starts/sample_000057.npy,0.0,delta_displacement_xy_regularized_224,valid,
sample_000058,sample_000058,veh10049,/home/jliu/Thesis/week05/data/delta_displacement_paired/labels_absolute/sample_000058.npy,171,224,bounce_reflect_padding,truncate,0,0,171,labels_absolute/sample_000058.npy,labels_delta_displacement/sample_000058.npy,starts/sample_000058.npy,2.2737367544323206e-13,delta_displacement_xy_regularized_224,valid,
sample_000059,sample_000059,veh1005,/home/jliu/Thesis/week05/data/delta_displacement_paired/labels_absolute/sample_000059.npy,128,224,bounce_reflect_padding,truncate,0,0,128,labels_absolute/sample_000059.npy,labels_delta_displacement/sample_000059.npy,starts/sample_000059.npy,0.0,delta_displacement_xy_regularized_224,valid,
sample_000060,sample_000060,veh10050,/home/jliu/Thesis/week05/data/delta_displacement_paired/labels_absolute/sample_000060.npy,114,224,bounce_reflect_padding,truncate,0,0,114,labels_absolute/sample_000060.npy,labels_delta_displacement/sample_000060.npy,starts/sample_000060.npy,0.0,delta_displacement_xy_regularized_224,valid,
sample_000061,sample_000061,veh10051,/home/jliu/Thesis/week05/data/delta_displacement_paired/labels_absolute/sample_000061.npy,157,224,bounce_reflect_padding,truncate,0,0,157,labels_absolute/sample_000061.npy,labels_delta_displacement/sample_000061.npy,starts/sample_000061.npy,0.0,delta_displacement_xy_regularized_224,valid,
sample_000062,sample_000062,veh10052,/home/jliu/Thesis/week05/data/delta_displacement_paired/labels_absolute/sample_000062.npy,163,224,bounce_reflect_padding,truncate,0,0,163,labels_absolute/sample_000062.npy,labels_delta_displacement/sample_000062.npy,starts/sample_000062.npy,0.0,delta_displacement_xy_regularized_224,valid,
sample_000063,sample_000063,veh10053,/home/jliu/Thesis/week05/data/delta_displacement_paired/labels_absolute/sample_000063.npy,222,224,bounce_reflect_padding,truncate,0,0,222,labels_absolute/sample_000063.npy,labels_delta_displacement/sample_000063.npy,starts/sample_000063.npy,0.0,delta_displacement_xy_regularized_224,valid,
sample_000064,sample_000064,veh10054,/home/jliu/Thesis/week05/data/delta_displacement_paired/labels_absolute/sample_000064.npy,112,224,bounce_reflect_padding,truncate,0,0,112,labels_absolute/sample_000064.npy,labels_delta_displacement/sample_000064.npy,starts/sample_000064.npy,0.0,delta_displacement_xy_regularized_224,valid,
sample_000065,sample_000065,veh10055,/home/jliu/Thesis/week05/data/delta_displacement_paired/labels_absolute/sample_000065.npy,222,224,bounce_reflect_padding,truncate,0,0,222,labels_absolute/sample_000065.npy,labels_delta_displacement/sample_000065.npy,starts/sample_000065.npy,0.0,delta_displacement_xy_regularized_224,valid,
sample_000066,sample_000066,veh10056,/home/jliu/Thesis/week05/data/delta_displacement_paired/labels_absolute/sample_000066.npy,253,224,truncate_first_224,truncate,0,0,224,labels_absolute/sample_000066.npy,labels_delta_displacement/sample_000066.npy,starts/sample_000066.npy,0.0,delta_displacement_xy_regularized_224,valid,
sample_000067,sample_000067,veh10057,/home/jliu/Thesis/week05/data/delta_displacement_paired/labels_absolute/sample_000067.npy,78,224,bounce_reflect_padding,truncate,0,0,78,labels_absolute/sample_000067.npy,labels_delta_displacement/sample_000067.npy,starts/sample_000067.npy,0.0,delta_displacement_xy_regularized_224,valid,
sample_000068,sample_000068,veh10058,/home/jliu/Thesis/week05/data/delta_displacement_paired/labels_absolute/sample_000068.npy,64,224,bounce_reflect_padding,truncate,0,0,64,labels_absolute/sample_000068.npy,labels_delta_displacement/sample_000068.npy,starts/sample_000068.npy,0.0,delta_displacement_xy_regularized_224,valid,
sample_000069,sample_000069,veh10059,/home/jliu/Thesis/week05/data/delta_displacement_paired/labels_absolute/sample_000069.npy,151,224,bounce_reflect_padding,truncate,0,0,151,labels_absolute/sample_000069.npy,labels_delta_displacement/sample_000069.npy,starts/sample_000069.npy,0.0,delta_displacement_xy_regularized_224,valid,
sample_000070,sample_000070,veh1006,/home/jliu/Thesis/week05/data/delta_displacement_paired/labels_absolute/sample_000070.npy,148,224,bounce_reflect_padding,truncate,0,0,148,labels_absolute/sample_000070.npy,labels_delta_displacement/sample_000070.npy,starts/sample_000070.npy,0.0,delta_displacement_xy_regularized_224,valid,
sample_000071,sample_000071,veh10060,/home/jliu/Thesis/week05/data/delta_displacement_paired/labels_absolute/sample_000071.npy,209,224,bounce_reflect_padding,truncate,0,0,209,labels_absolute/sample_000071.npy,labels_delta_displacement/sample_000071.npy,starts/sample_000071.npy,1.1368683772161603e-12,delta_displacement_xy_regularized_224,valid,
sample_000072,sample_000072,veh10061,/home/jliu/Thesis/week05/data/delta_displacement_paired/labels_absolute/sample_000072.npy,510,224,truncate_first_224,truncate,0,0,224,labels_absolute/sample_000072.npy,labels_delta_displacement/sample_000072.npy,starts/sample_000072.npy,0.0,delta_displacement_xy_regularized_224,valid,
sample_000073,sample_000073,veh10062,/home/jliu/Thesis/week05/data/delta_displacement_paired/labels_absolute/sample_000073.npy,157,224,bounce_reflect_padding,truncate,0,0,157,labels_absolute/sample_000073.npy,labels_delta_displacement/sample_000073.npy,starts/sample_000073.npy,0.0,delta_displacement_xy_regularized_224,valid,
sample_000074,sample_000074,veh10063,/home/jliu/Thesis/week05/data/delta_displacement_paired/labels_absolute/sample_000074.npy,55,224,bounce_reflect_padding,truncate,0,0,55,labels_absolute/sample_000074.npy,labels_delta_displacement/sample_000074.npy,starts/sample_000074.npy,0.0,delta_displacement_xy_regularized_224,valid,
sample_000075,sample_000075,veh10064,/home/jliu/Thesis/week05/data/delta_displacement_paired/labels_absolute/sample_000075.npy,129,224,bounce_reflect_padding,truncate,0,0,129,labels_absolute/sample_000075.npy,labels_delta_displacement/sample_000075.npy,starts/sample_000075.npy,0.0,delta_displacement_xy_regularized_224,valid,
sample_000076,sample_000076,veh10065,/home/jliu/Thesis/week05/data/delta_displacement_paired/labels_absolute/sample_000076.npy,204,224,bounce_reflect_padding,truncate,0,0,204,labels_absolute/sample_000076.npy,labels_delta_displacement/sample_000076.npy,starts/sample_000076.npy,0.0,delta_displacement_xy_regularized_224,valid,
sample_000077,sample_000077,veh10066,/home/jliu/Thesis/week05/data/delta_displacement_paired/labels_absolute/sample_000077.npy,125,224,bounce_reflect_padding,truncate,0,0,125,labels_absolute/sample_000077.npy,labels_delta_displacement/sample_000077.npy,starts/sample_000077.npy,2.842170943040401e-14,delta_displacement_xy_regularized_224,valid,
sample_000078,sample_000078,veh10067,/home/jliu/Thesis/week05/data/delta_displacement_paired/labels_absolute/sample_000078.npy,165,224,bounce_reflect_padding,truncate,0,0,165,labels_absolute/sample_000078.npy,labels_delta_displacement/sample_000078.npy,starts/sample_000078.npy,0.0,delta_displacement_xy_regularized_224,valid,
sample_000079,sample_000079,veh10068,/home/jliu/Thesis/week05/data/delta_displacement_paired/labels_absolute/sample_000079.npy,132,224,bounce_reflect_padding,truncate,0,0,132,labels_absolute/sample_000079.npy,labels_delta_displacement/sample_000079.npy,starts/sample_000079.npy,0.0,delta_displacement_xy_regularized_224,valid,
sample_000080,sample_000080,veh10069,/home/jliu/Thesis/week05/data/delta_displacement_paired/labels_absolute/sample_000080.npy,265,224,truncate_first_224,truncate,0,0,224,labels_absolute/sample_000080.npy,labels_delta_displacement/sample_000080.npy,starts/sample_000080.npy,0.0,delta_displacement_xy_regularized_224,valid,
sample_000081,sample_000081,veh1007,/home/jliu/Thesis/week05/data/delta_displacement_paired/labels_absolute/sample_000081.npy,154,224,bounce_reflect_padding,truncate,0,0,154,labels_absolute/sample_000081.npy,labels_delta_displacement/sample_000081.npy,starts/sample_000081.npy,0.0,delta_displacement_xy_regularized_224,valid,
sample_000082,sample_000082,veh10070,/home/jliu/Thesis/week05/data/delta_displacement_paired/labels_absolute/sample_000082.npy,133,224,bounce_reflect_padding,truncate,0,0,133,labels_absolute/sample_000082.npy,labels_delta_displacement/sample_000082.npy,starts/sample_000082.npy,0.0,delta_displacement_xy_regularized_224,valid,
sample_000083,sample_000083,veh10071,/home/jliu/Thesis/week05/data/delta_displacement_paired/labels_absolute/sample_000083.npy,213,224,bounce_reflect_padding,truncate,0,0,213,labels_absolute/sample_000083.npy,labels_delta_displacement/sample_000083.npy,starts/sample_000083.npy,1.1368683772161603e-12,delta_displacement_xy_regularized_224,valid,
sample_000084,sample_000084,veh10072,/home/jliu/Thesis/week05/data/delta_displacement_paired/labels_absolute/sample_000084.npy,101,224,bounce_reflect_padding,truncate,0,0,101,labels_absolute/sample_000084.npy,labels_delta_displacement/sample_000084.npy,starts/sample_000084.npy,0.0,delta_displacement_xy_regularized_224,valid,
sample_000085,sample_000085,veh10073,/home/jliu/Thesis/week05/data/delta_displacement_paired/labels_absolute/sample_000085.npy,168,224,bounce_reflect_padding,truncate,0,0,168,labels_absolute/sample_000085.npy,labels_delta_displacement/sample_000085.npy,starts/sample_000085.npy,0.0,delta_displacement_xy_regularized_224,valid,
sample_000086,sample_000086,veh10074,/home/jliu/Thesis/week05/data/delta_displacement_paired/labels_absolute/sample_000086.npy,347,224,truncate_first_224,truncate,0,0,224,labels_absolute/sample_000086.npy,labels_delta_displacement/sample_000086.npy,starts/sample_000086.npy,0.0,delta_displacement_xy_regularized_224,valid,
