sample_id,image_path,array_path,label_delta_displacement_path,label_absolute_path,start_path,encoding_method,coordinate_type,normalization_range,sign_lost_from_gasf_diagonal,initial_x,initial_y,delta_was_prepended_with_zero,dx_min,dx_max,dy_min,dy_max,x_min,x_max,y_min,y_max,valid_or_skipped,skip_reason
sample_000020,images/sample_000020.png,arrays/sample_000020.npy,labels_delta_displacement/sample_000020.npy,labels_absolute/sample_000020.npy,starts/sample_000020.npy,GASF_dx_GASF_dy_start_heatmap_neg11,delta_displacement_xy,"[-1,1]",True,514.57,1752.38,False,-34.42000000000007,34.38999999999987,-34.8599999999999,33.629999999999995,2.32,2953.0,7.41,1783.03,valid,
sample_000021,images/sample_000021.png,arrays/sample_000021.npy,labels_delta_displacement/sample_000021.npy,labels_absolute/sample_000021.npy,starts/sample_000021.npy,GASF_dx_GASF_dy_start_heatmap_neg11,delta_displacement_xy,"[-1,1]",True,333.42,168.31,False,-34.42000000000007,34.38999999999987,-34.8599999999999,33.629999999999995,2.32,2953.0,7.41,1783.03,valid,
sample_000022,images/sample_000022.png,arrays/sample_000022.npy,labels_delta_displacement/sample_000022.npy,labels_absolute/sample_000022.npy,starts/sample_000022.npy,GASF_dx_GASF_dy_start_heatmap_neg11,delta_displacement_xy,"[-1,1]",True,479.42,417.22,False,-34.42000000000007,34.38999999999987,-34.8599999999999,33.629999999999995,2.32,2953.0,7.41,1783.03,valid,
sample_000023,images/sample_000023.png,arrays/sample_000023.npy,labels_delta_displacement/sample_000023.npy,labels_absolute/sample_000023.npy,starts/sample_000023.npy,GASF_dx_GASF_dy_start_heatmap_neg11,delta_displacement_xy,"[-1,1]",True,2270.11,933.22,False,-34.42000000000007,34.38999999999987,-34.8599999999999,33.629999999999995,2.32,2953.0,7.41,1783.03,valid,
sample_000024,images/sample_000024.png,arrays/sample_000024.npy,labels_delta_displacement/sample_000024.npy,labels_absolute/sample_000024.npy,starts/sample_000024.npy,GASF_dx_GASF_dy_start_heatmap_neg11,delta_displacement_xy,"[-1,1]",True,2062.19,390.65,False,-34.42000000000007,34.38999999999987,-34.8599999999999,33.629999999999995,2.32,2953.0,7.41,1783.03,valid,
sample_000025,images/sample_000025.png,arrays/sample_000025.npy,labels_delta_displacement/sample_000025.npy,labels_absolute/sample_000025.npy,starts/sample_000025.npy,GASF_dx_GASF_dy_start_heatmap_neg11,delta_displacement_xy,"[-1,1]",True,795.68,364.77,False,-34.42000000000007,34.38999999999987,-34.8599999999999,33.629999999999995,2.32,2953.0,7.41,1783.03,valid,
sample_000026,images/sample_000026.png,arrays/sample_000026.npy,labels_delta_displacement/sample_000026.npy,labels_absolute/sample_000026.npy,starts/sample_000026.npy,GASF_dx_GASF_dy_start_heatmap_neg11,delta_displacement_xy,"[-1,1]",True,518.09,1192.4,False,-34.42000000000007,34.38999999999987,-34.8599999999999,33.629999999999995,2.32,2953.0,7.41,1783.03,valid,
sample_000027,images/sample_000027.png,arrays/sample_000027.npy,labels_delta_displacement/sample_000027.npy,labels_absolute/sample_000027.npy,starts/sample_000027.npy,GASF_dx_GASF_dy_start_heatmap_neg11,delta_displacement_xy,"[-1,1]",True,560.24,1546.95,False,-34.42000000000007,34.38999999999987,-34.8599999999999,33.629999999999995,2.32,2953.0,7.41,1783.03,valid,
sample_000028,images/sample_000028.png,arrays/sample_000028.npy,labels_delta_displacement/sample_000028.npy,labels_absolute/sample_000028.npy,starts/sample_000028.npy,GASF_dx_GASF_dy_start_heatmap_neg11,delta_displacement_xy,"[-1,1]",True,312.17,423.82,False,-34.42000000000007,34.38999999999987,-34.8599999999999,33.629999999999995,2.32,2953.0,7.41,1783.03,valid,
sample_000029,images/sample_000029.png,arrays/sample_000029.npy,labels_delta_displacement/sample_000029.npy,labels_absolute/sample_000029.npy,starts/sample_000029.npy,GASF_dx_GASF_dy_start_heatmap_neg11,delta_displacement_xy,"[-1,1]",True,1294.23,1666.85,False,-34.42000000000007,34.38999999999987,-34.8599999999999,33.629999999999995,2.32,2953.0,7.41,1783.03,valid,
sample_000030,images/sample_000030.png,arrays/sample_000030.npy,labels_delta_displacement/sample_000030.npy,labels_absolute/sample_000030.npy,starts/sample_000030.npy,GASF_dx_GASF_dy_start_heatmap_neg11,delta_displacement_xy,"[-1,1]",True,1237.98,1064.75,False,-34.42000000000007,34.38999999999987,-34.8599999999999,33.629999999999995,2.32,2953.0,7.41,1783.03,valid,
sample_000031,images/sample_000031.png,arrays/sample_000031.npy,labels_delta_displacement/sample_000031.npy,labels_absolute/sample_000031.npy,starts/sample_000031.npy,GASF_dx_GASF_dy_start_heatmap_neg11,delta_displacement_xy,"[-1,1]",True,501.75,1675.21,False,-34.42000000000007,34.38999999999987,-34.8599999999999,33.629999999999995,2.32,2953.0,7.41,1783.03,valid,
sample_000032,images/sample_000032.png,arrays/sample_000032.npy,labels_delta_displacement/sample_000032.npy,labels_absolute/sample_000032.npy,starts/sample_000032.npy,GASF_dx_GASF_dy_start_heatmap_neg11,delta_displacement_xy,"[-1,1]",True,526.98,98.47,False,-34.42000000000007,34.38999999999987,-34.8599999999999,33.629999999999995,2.32,2953.0,7.41,1783.03,valid,
sample_000033,images/sample_000033.png,arrays/sample_000033.npy,labels_delta_displacement/sample_000033.npy,labels_absolute/sample_000033.npy,starts/sample_000033.npy,GASF_dx_GASF_dy_start_heatmap_neg11,delta_displacement_xy,"[-1,1]",True,1860.31,8.72,False,-34.42000000000007,34.38999999999987,-34.8599999999999,33.629999999999995,2.32,2953.0,7.41,1783.03,valid,
sample_000034,images/sample_000034.png,arrays/sample_000034.npy,labels_delta_displacement/sample_000034.npy,labels_absolute/sample_000034.npy,starts/sample_000034.npy,GASF_dx_GASF_dy_start_heatmap_neg11,delta_displacement_xy,"[-1,1]",True,638.47,1709.44,False,-34.42000000000007,34.38999999999987,-34.8599999999999,33.629999999999995,2.32,2953.0,7.41,1783.03,valid,
sample_000035,images/sample_000035.png,arrays/sample_000035.npy,labels_delta_displacement/sample_000035.npy,labels_absolute/sample_000035.npy,starts/sample_000035.npy,GASF_dx_GASF_dy_start_heatmap_neg11,delta_displacement_xy,"[-1,1]",True,1355.04,1747.45,False,-34.42000000000007,34.38999999999987,-34.8599999999999,33.629999999999995,2.32,2953.0,7.41,1783.03,valid,
sample_000036,images/sample_000036.png,arrays/sample_000036.npy,labels_delta_displacement/sample_000036.npy,labels_absolute/sample_000036.npy,starts/sample_000036.npy,GASF_dx_GASF_dy_start_heatmap_neg11,delta_displacement_xy,"[-1,1]",True,1757.98,1743.44,False,-34.42000000000007,34.38999999999987,-34.8599999999999,33.629999999999995,2.32,2953.0,7.41,1783.03,valid,
sample_000037,images/sample_000037.png,arrays/sample_000037.npy,labels_delta_displacement/sample_000037.npy,labels_absolute/sample_000037.npy,starts/sample_000037.npy,GASF_dx_GASF_dy_start_heatmap_neg11,delta_displacement_xy,"[-1,1]",True,692.65,693.64,False,-34.42000000000007,34.38999999999987,-34.8599999999999,33.629999999999995,2.32,2953.0,7.41,1783.03,valid,
sample_000038,images/sample_000038.png,arrays/sample_000038.npy,labels_delta_displacement/sample_000038.npy,labels_absolute/sample_000038.npy,starts/sample_000038.npy,GASF_dx_GASF_dy_start_heatmap_neg11,delta_displacement_xy,"[-1,1]",True,2299.33,690.71,False,-34.42000000000007,34.38999999999987,-34.8599999999999,33.629999999999995,2.32,2953.0,7.41,1783.03,valid,
sample_000039,images/sample_000039.png,arrays/sample_000039.npy,labels_delta_displacement/sample_000039.npy,labels_absolute/sample_000039.npy,starts/sample_000039.npy,GASF_dx_GASF_dy_start_heatmap_neg11,delta_displacement_xy,"[-1,1]",True,1937.74,287.42,False,-34.42000000000007,34.38999999999987,-34.8599999999999,33.629999999999995,2.32,2953.0,7.41,1783.03,valid,
sample_000040,images/sample_000040.png,arrays/sample_000040.npy,labels_delta_displacement/sample_000040.npy,labels_absolute/sample_000040.npy,starts/sample_000040.npy,GASF_dx_GASF_dy_start_heatmap_neg11,delta_displacement_xy,"[-1,1]",True,560.24,1546.95,False,-34.42000000000007,34.38999999999987,-34.8599999999999,33.629999999999995,2.32,2953.0,7.41,1783.03,valid,
sample_000041,images/sample_000041.png,arrays/sample_000041.npy,labels_delta_displacement/sample_000041.npy,labels_absolute/sample_000041.npy,starts/sample_000041.npy,GASF_dx_GASF_dy_start_heatmap_neg11,delta_displacement_xy,"[-1,1]",True,1860.31,8.72,False,-34.42000000000007,34.38999999999987,-34.8599999999999,33.629999999999995,2.32,2953.0,7.41,1783.03,valid,
sample_000042,images/sample_000042.png,arrays/sample_000042.npy,labels_delta_displacement/sample_000042.npy,labels_absolute/sample_000042.npy,starts/sample_000042.npy,GASF_dx_GASF_dy_start_heatmap_neg11,delta_displacement_xy,"[-1,1]",True,2846.09,1780.81,False,-34.42000000000007,34.38999999999987,-34.8599999999999,33.629999999999995,2.32,2953.0,7.41,1783.03,valid,
sample_000043,images/sample_000043.png,arrays/sample_000043.npy,labels_delta_displacement/sample_000043.npy,labels_absolute/sample_000043.npy,starts/sample_000043.npy,GASF_dx_GASF_dy_start_heatmap_neg11,delta_displacement_xy,"[-1,1]",True,278.7,1760.24,False,-34.42000000000007,34.38999999999987,-34.8599999999999,33.629999999999995,2.32,2953.0,7.41,1783.03,valid,
sample_000044,images/sample_000044.png,arrays/sample_000044.npy,labels_delta_displacement/sample_000044.npy,labels_absolute/sample_000044.npy,starts/sample_000044.npy,GASF_dx_GASF_dy_start_heatmap_neg11,delta_displacement_xy,"[-1,1]",True,1827.78,1604.26,False,-34.42000000000007,34.38999999999987,-34.8599999999999,33.629999999999995,2.32,2953.0,7.41,1783.03,valid,
sample_000045,images/sample_000045.png,arrays/sample_000045.npy,labels_delta_displacement/sample_000045.npy,labels_absolute/sample_000045.npy,starts/sample_000045.npy,GASF_dx_GASF_dy_start_heatmap_neg11,delta_displacement_xy,"[-1,1]",True,1770.35,525.76,False,-34.42000000000007,34.38999999999987,-34.8599999999999,33.629999999999995,2.32,2953.0,7.41,1783.03,valid,
sample_000046,images/sample_000046.png,arrays/sample_000046.npy,labels_delta_displacement/sample_000046.npy,labels_absolute/sample_000046.npy,starts/sample_000046.npy,GASF_dx_GASF_dy_start_heatmap_neg11,delta_displacement_xy,"[-1,1]",True,33.5,849.25,False,-34.42000000000007,34.38999999999987,-34.8599999999999,33.629999999999995,2.32,2953.0,7.41,1783.03,valid,
sample_000047,images/sample_000047.png,arrays/sample_000047.npy,labels_delta_displacement/sample_000047.npy,labels_absolute/sample_000047.npy,starts/sample_000047.npy,GASF_dx_GASF_dy_start_heatmap_neg11,delta_displacement_xy,"[-1,1]",True,1020.96,1285.11,False,-34.42000000000007,34.38999999999987,-34.8599999999999,33.629999999999995,2.32,2953.0,7.41,1783.03,valid,
sample_000048,images/sample_000048.png,arrays/sample_000048.npy,labels_delta_displacement/sample_000048.npy,labels_absolute/sample_000048.npy,starts/sample_000048.npy,GASF_dx_GASF_dy_start_heatmap_neg11,delta_displacement_xy,"[-1,1]",True,16.32,123.01,False,-34.42000000000007,34.38999999999987,-34.8599999999999,33.629999999999995,2.32,2953.0,7.41,1783.03,valid,
sample_000049,images/sample_000049.png,arrays/sample_000049.npy,labels_delta_displacement/sample_000049.npy,labels_absolute/sample_000049.npy,starts/sample_000049.npy,GASF_dx_GASF_dy_start_heatmap_neg11,delta_displacement_xy,"[-1,1]",True,514.8,297.25,False,-34.42000000000007,34.38999999999987,-34.8599999999999,33.629999999999995,2.32,2953.0,7.41,1783.03,valid,
sample_000050,images/sample_000050.png,arrays/sample_000050.npy,labels_delta_displacement/sample_000050.npy,labels_absolute/sample_000050.npy,starts/sample_000050.npy,GASF_dx_GASF_dy_start_heatmap_neg11,delta_displacement_xy,"[-1,1]",True,1020.96,1285.11,False,-34.42000000000007,34.38999999999987,-34.8599999999999,33.629999999999995,2.32,2953.0,7.41,1783.03,valid,
sample_000051,images/sample_000051.png,arrays/sample_000051.npy,labels_delta_displacement/sample_000051.npy,labels_absolute/sample_000051.npy,starts/sample_000051.npy,GASF_dx_GASF_dy_start_heatmap_neg11,delta_displacement_xy,"[-1,1]",True,173.96,596.24,False,-34.42000000000007,34.38999999999987,-34.8599999999999,33.629999999999995,2.32,2953.0,7.41,1783.03,valid,
sample_000052,images/sample_000052.png,arrays/sample_000052.npy,labels_delta_displacement/sample_000052.npy,labels_absolute/sample_000052.npy,starts/sample_000052.npy,GASF_dx_GASF_dy_start_heatmap_neg11,delta_displacement_xy,"[-1,1]",True,1360.05,1262.27,False,-34.42000000000007,34.38999999999987,-34.8599999999999,33.629999999999995,2.32,2953.0,7.41,1783.03,valid,
sample_000053,images/sample_000053.png,arrays/sample_000053.npy,labels_delta_displacement/sample_000053.npy,labels_absolute/sample_000053.npy,starts/sample_000053.npy,GASF_dx_GASF_dy_start_heatmap_neg11,delta_displacement_xy,"[-1,1]",True,1370.46,970.99,False,-34.42000000000007,34.38999999999987,-34.8599999999999,33.629999999999995,2.32,2953.0,7.41,1783.03,valid,
sample_000054,images/sample_000054.png,arrays/sample_000054.npy,labels_delta_displacement/sample_000054.npy,labels_absolute/sample_000054.npy,starts/sample_000054.npy,GASF_dx_GASF_dy_start_heatmap_neg11,delta_displacement_xy,"[-1,1]",True,323.51,1292.28,False,-34.42000000000007,34.38999999999987,-34.8599999999999,33.629999999999995,2.32,2953.0,7.41,1783.03,valid,
sample_000055,images/sample_000055.png,arrays/sample_000055.npy,labels_delta_displacement/sample_000055.npy,labels_absolute/sample_000055.npy,starts/sample_000055.npy,GASF_dx_GASF_dy_start_heatmap_neg11,delta_displacement_xy,"[-1,1]",True,786.16,345.7,False,-34.42000000000007,34.38999999999987,-34.8599999999999,33.629999999999995,2.32,2953.0,7.41,1783.03,valid,
sample_000056,images/sample_000056.png,arrays/sample_000056.npy,labels_delta_displacement/sample_000056.npy,labels_absolute/sample_000056.npy,starts/sample_000056.npy,GASF_dx_GASF_dy_start_heatmap_neg11,delta_displacement_xy,"[-1,1]",True,16.32,123.01,False,-34.42000000000007,34.38999999999987,-34.8599999999999,33.629999999999995,2.32,2953.0,7.41,1783.03,valid,
sample_000057,images/sample_000057.png,arrays/sample_000057.npy,labels_delta_displacement/sample_000057.npy,labels_absolute/sample_000057.npy,starts/sample_000057.npy,GASF_dx_GASF_dy_start_heatmap_neg11,delta_displacement_xy,"[-1,1]",True,563.27,313.83,False,-34.42000000000007,34.38999999999987,-34.8599999999999,33.629999999999995,2.32,2953.0,7.41,1783.03,valid,
sample_000058,images/sample_000058.png,arrays/sample_000058.npy,labels_delta_displacement/sample_000058.npy,labels_absolute/sample_000058.npy,starts/sample_000058.npy,GASF_dx_GASF_dy_start_heatmap_neg11,delta_displacement_xy,"[-1,1]",True,1360.05,1262.27,False,-34.42000000000007,34.38999999999987,-34.8599999999999,33.629999999999995,2.32,2953.0,7.41,1783.03,valid,
sample_000059,images/sample_000059.png,arrays/sample_000059.npy,labels_delta_displacement/sample_000059.npy,labels_absolute/sample_000059.npy,starts/sample_000059.npy,GASF_dx_GASF_dy_start_heatmap_neg11,delta_displacement_xy,"[-1,1]",True,605.21,1770.4,False,-34.42000000000007,34.38999999999987,-34.8599999999999,33.629999999999995,2.32,2953.0,7.41,1783.03,valid,
sample_000060,images/sample_000060.png,arrays/sample_000060.npy,labels_delta_displacement/sample_000060.npy,labels_absolute/sample_000060.npy,starts/sample_000060.npy,GASF_dx_GASF_dy_start_heatmap_neg11,delta_displacement_xy,"[-1,1]",True,2482.14,1768.42,False,-34.42000000000007,34.38999999999987,-34.8599999999999,33.629999999999995,2.32,2953.0,7.41,1783.03,valid,
sample_000061,images/sample_000061.png,arrays/sample_000061.npy,labels_delta_displacement/sample_000061.npy,labels_absolute/sample_000061.npy,starts/sample_000061.npy,GASF_dx_GASF_dy_start_heatmap_neg11,delta_displacement_xy,"[-1,1]",True,695.44,114.83,False,-34.42000000000007,34.38999999999987,-34.8599999999999,33.629999999999995,2.32,2953.0,7.41,1783.03,valid,
sample_000062,images/sample_000062.png,arrays/sample_000062.npy,labels_delta_displacement/sample_000062.npy,labels_absolute/sample_000062.npy,starts/sample_000062.npy,GASF_dx_GASF_dy_start_heatmap_neg11,delta_displacement_xy,"[-1,1]",True,2846.09,1780.81,False,-34.42000000000007,34.38999999999987,-34.8599999999999,33.629999999999995,2.32,2953.0,7.41,1783.03,valid,
sample_000063,images/sample_000063.png,arrays/sample_000063.npy,labels_delta_displacement/sample_000063.npy,labels_absolute/sample_000063.npy,starts/sample_000063.npy,GASF_dx_GASF_dy_start_heatmap_neg11,delta_displacement_xy,"[-1,1]",True,1964.33,843.22,False,-34.42000000000007,34.38999999999987,-34.8599999999999,33.629999999999995,2.32,2953.0,7.41,1783.03,valid,
sample_000064,images/sample_000064.png,arrays/sample_000064.npy,labels_delta_displacement/sample_000064.npy,labels_absolute/sample_000064.npy,starts/sample_000064.npy,GASF_dx_GASF_dy_start_heatmap_neg11,delta_displacement_xy,"[-1,1]",True,526.98,98.47,False,-34.42000000000007,34.38999999999987,-34.8599999999999,33.629999999999995,2.32,2953.0,7.41,1783.03,valid,
sample_000065,images/sample_000065.png,arrays/sample_000065.npy,labels_delta_displacement/sample_000065.npy,labels_absolute/sample_000065.npy,starts/sample_000065.npy,GASF_dx_GASF_dy_start_heatmap_neg11,delta_displacement_xy,"[-1,1]",True,2216.49,942.57,False,-34.42000000000007,34.38999999999987,-34.8599999999999,33.629999999999995,2.32,2953.0,7.41,1783.03,valid,
sample_000066,images/sample_000066.png,arrays/sample_000066.npy,labels_delta_displacement/sample_000066.npy,labels_absolute/sample_000066.npy,starts/sample_000066.npy,GASF_dx_GASF_dy_start_heatmap_neg11,delta_displacement_xy,"[-1,1]",True,278.7,1760.24,False,-34.42000000000007,34.38999999999987,-34.8599999999999,33.629999999999995,2.32,2953.0,7.41,1783.03,valid,
sample_000067,images/sample_000067.png,arrays/sample_000067.npy,labels_delta_displacement/sample_000067.npy,labels_absolute/sample_000067.npy,starts/sample_000067.npy,GASF_dx_GASF_dy_start_heatmap_neg11,delta_displacement_xy,"[-1,1]",True,1583.26,1753.55,False,-34.42000000000007,34.38999999999987,-34.8599999999999,33.629999999999995,2.32,2953.0,7.41,1783.03,valid,
sample_000068,images/sample_000068.png,arrays/sample_000068.npy,labels_delta_displacement/sample_000068.npy,labels_absolute/sample_000068.npy,starts/sample_000068.npy,GASF_dx_GASF_dy_start_heatmap_neg11,delta_displacement_xy,"[-1,1]",True,2385.92,1783.03,False,-34.42000000000007,34.38999999999987,-34.8599999999999,33.629999999999995,2.32,2953.0,7.41,1783.03,valid,
sample_000069,images/sample_000069.png,arrays/sample_000069.npy,labels_delta_displacement/sample_000069.npy,labels_absolute/sample_000069.npy,starts/sample_000069.npy,GASF_dx_GASF_dy_start_heatmap_neg11,delta_displacement_xy,"[-1,1]",True,1138.2,1003.82,False,-34.42000000000007,34.38999999999987,-34.8599999999999,33.629999999999995,2.32,2953.0,7.41,1783.03,valid,
sample_000070,images/sample_000070.png,arrays/sample_000070.npy,labels_delta_displacement/sample_000070.npy,labels_absolute/sample_000070.npy,starts/sample_000070.npy,GASF_dx_GASF_dy_start_heatmap_neg11,delta_displacement_xy,"[-1,1]",True,514.8,297.25,False,-34.42000000000007,34.38999999999987,-34.8599999999999,33.629999999999995,2.32,2953.0,7.41,1783.03,valid,
sample_000071,images/sample_000071.png,arrays/sample_000071.npy,labels_delta_displacement/sample_000071.npy,labels_absolute/sample_000071.npy,starts/sample_000071.npy,GASF_dx_GASF_dy_start_heatmap_neg11,delta_displacement_xy,"[-1,1]",True,28.41,1421.45,False,-34.42000000000007,34.38999999999987,-34.8599999999999,33.629999999999995,2.32,2953.0,7.41,1783.03,valid,
