sample_id,vehicle_id
sample_000305,car1030
sample_000306,car1032
sample_000307,car1033
sample_000308,car1035
sample_000309,car1039
sample_000310,car1040
sample_000311,car1052
sample_000312,car1053
sample_000313,car1055
sample_000315,car1063
sample_000316,car1064
sample_000317,car1069
sample_000318,car1071
sample_000319,car1074
sample_000321,car1077
sample_000322,car1079
sample_000324,car1089
sample_000326,car1099
sample_000327,car1103
sample_000328,car1104
sample_000329,car1110
sample_000330,car1115
sample_000331,car1121
sample_000332,car1129
sample_000334,car1138
sample_000335,car1140
sample_000336,car1144
sample_000337,car1145
sample_000338,car1152
sample_000340,car1155
sample_000341,car1160
sample_000342,car1161
sample_000343,car1180
sample_000344,car1182
sample_000346,car1198
sample_000347,car1204
sample_000348,car1205
sample_000350,car1211
sample_000352,car1220
sample_000353,car1229
sample_000354,car1234
sample_000356,car1238
sample_000357,car1241
sample_000359,car1248
sample_000360,car1255
sample_000361,car1257
sample_000362,car1259
sample_000363,car1262
sample_000365,car1271
sample_000367,car1282
sample_000368,car1284
sample_000369,car1286
sample_000370,car1288
sample_000371,car1295
sample_000372,car1296
sample_000373,car1297
sample_000374,car1298
sample_000376,car1304
sample_000377,car1305
sample_000378,car1309
sample_000379,car1313
sample_000380,car1317
sample_000381,car1318
sample_000382,car1319
sample_000383,car1324
sample_000384,car1328
sample_000385,car1330
sample_000387,car1336
sample_000388,car1337
sample_000389,car1339
sample_000390,car1341
sample_000392,car1344
sample_000393,car1348
sample_000394,car1349
sample_000395,car1351
sample_000396,car1353
sample_000400,car1364
sample_000402,car1368
sample_000403,car1374
sample_000404,car1375
sample_000405,car1376
sample_000406,car1377
sample_000407,car1378
sample_000408,car1381
sample_000409,car1386
sample_000411,car1396
sample_000412,car1397
sample_000413,car1399
sample_000415,car1403
sample_000416,car1404
sample_000418,car1410
sample_000419,car1411
sample_000420,car1413
sample_000421,car1414
sample_000422,car1418
sample_000424,car1422
sample_000425,car1427
sample_000426,car1437
sample_000427,car1439
sample_000429,car1443
sample_000430,car1445
sample_000431,car1449
sample_000433,car1451
sample_000434,car1454
sample_000435,car1456
sample_000436,car1460
sample_000439,car1465
sample_000441,car1470
sample_000443,car1489
sample_000444,car1490
sample_000445,car1493
sample_000447,car1504
sample_000448,car1507
sample_000449,car1511
sample_000451,car1516
sample_000452,car1521
sample_000453,car1522
sample_000454,car1523
sample_000455,car1528
sample_000457,car1531
sample_000460,car1536
sample_000461,car1541
sample_000463,car1550
sample_000464,car1552
sample_000465,car1556
sample_000466,car1558
sample_000467,car1561
sample_000468,car1568
sample_000469,car1571
sample_000470,car1575
sample_000471,car1576
sample_000472,car1577
sample_000473,car1584
sample_000474,car1586
sample_000475,car1592
sample_000476,car1594
sample_000477,car1595
sample_000479,car1597
sample_000480,car1600
sample_000481,car1605
sample_000483,car1609
sample_000484,car1611
sample_000486,car1613
sample_000487,car1618
sample_000489,car1622
sample_000492,car1629
sample_000493,car1630
sample_000495,car1638
sample_000497,car1644
sample_000498,car1648
sample_000500,car1652
sample_000501,car1653
sample_000502,car1654
sample_000504,car1659
sample_000505,car1660
sample_000506,car1662
sample_000507,car1667
sample_000508,car1668
sample_000509,car1673
sample_000510,car1678
sample_000511,car1679
sample_000512,car1683
sample_000513,car1686
sample_000514,car1696
sample_000516,car1701
sample_000517,car1703
sample_000518,car1704
sample_000519,car1705
sample_000520,car1706
sample_000521,car1711
sample_000522,car1714
sample_000523,car1715
sample_000524,car1716
sample_000529,car1723
sample_000530,car1727
sample_000531,car1728
sample_000532,car1735
sample_000536,car1749
sample_000537,car1750
sample_000538,car1751
sample_000539,car1752
sample_000540,car1755
sample_000541,car1758
sample_000542,car1759
sample_000543,car1761
sample_000544,car1762
sample_000546,car1766
sample_000547,car1767
sample_000548,car1771
sample_000549,car1772
sample_000550,car1773
sample_000551,car1775
sample_000552,car1777
sample_000553,car1781
sample_000554,car1782
sample_000556,car1786
sample_000557,car1787
sample_000558,car1788
sample_000560,car1791
sample_000561,car1792
sample_000563,car1797
sample_000566,car1802
sample_000567,car1803
sample_000568,car1804
sample_000569,car1806
sample_000571,car1810
sample_000572,car1811
sample_000573,car1816
sample_000574,car1817
sample_000575,car1819
sample_000578,car1823
sample_000579,car1831
sample_000580,car1833
sample_000581,car1835
sample_000582,car1836
sample_000583,car1843
sample_000585,car1855
sample_000586,car1857
sample_000587,car1859
sample_000588,car1861
sample_000589,car1863
sample_000590,car1868
sample_000591,car1871
sample_000592,car1873
sample_000593,car1877
sample_000594,car1881
sample_000595,car1885
sample_000596,car1886
sample_000598,car1904
sample_000599,car1906
sample_000600,car1911
sample_000601,car1912
sample_000602,car1914
sample_000603,car1915
sample_000606,car1921
sample_000607,car1923
sample_000608,car1924
sample_000609,car1928
sample_000610,car1929
sample_000611,car1930
sample_000612,car1931
sample_000613,car1933
sample_000614,car1938
sample_000615,car1939
sample_000617,car1944
sample_000618,car1949
sample_000619,car1952
sample_000621,car1955
sample_000622,car1971
sample_000623,car1973
sample_000624,car1980
sample_000625,car1981
sample_000626,car1982
sample_000627,car1983
sample_000628,car1986
sample_000629,car1987
sample_000630,car1991
sample_000631,car1994
sample_000632,car1998
sample_000634,car2000
sample_000635,car2002
sample_000636,car2009
sample_000637,car2010
sample_000638,car2015
sample_000639,car2018
sample_000640,car2020
sample_000643,car2028
sample_000646,car2044
sample_000647,car2048
sample_000648,car2049
sample_000649,car2050
sample_000651,car2055
sample_000652,car2059
sample_000653,car2066
sample_000654,car2068
sample_000655,car2072
sample_000656,car2076
sample_000657,car2078
sample_000658,car2080
sample_000659,car2082
sample_000660,car2088
sample_000662,car2094
sample_000663,car2095
sample_000664,car2097
sample_000665,car2099
sample_000666,car2101
sample_000668,car2106
sample_000670,car2111
sample_000671,car2112
sample_000672,car2115
sample_000673,car2119
sample_000674,car2123
sample_000676,car2126
sample_000677,car2130
sample_000678,car2131
sample_000679,car2132
sample_000680,car2134
sample_000681,car2140
sample_000682,car2149
sample_000683,car2150
sample_000684,car2151
sample_000685,car2152
sample_000686,car2155
sample_000688,car2160
sample_000691,car2164
sample_000692,car2165
sample_000693,car2174
sample_000694,car2175
sample_000695,car2180
sample_000696,car2183
sample_000697,car2185
sample_000698,car2189
sample_000699,car2190
sample_000700,car2191
sample_000701,car2194
sample_000702,car2195
sample_000703,car2197
sample_000704,car2199
sample_000705,car2200
sample_000709,car2209
sample_000710,car2210
sample_000711,car2213
sample_000712,car2216
sample_000713,car2217
sample_000715,car2222
sample_000716,car2223
sample_000717,car2226
sample_000719,car2229
sample_000720,car2230
sample_000722,car2236
sample_000723,car2238
sample_000724,car2242
sample_000726,car2247
sample_000727,car2253
sample_000728,car2256
sample_000729,car2259
sample_000730,car2260
sample_000731,car2261
sample_000733,car2268
sample_000734,car2277
sample_000736,car2283
sample_000737,car2286
sample_000738,car2290
sample_000739,car2293
sample_000740,car2295
sample_000741,car2297
sample_000742,car2298
sample_000743,car2301
sample_000744,car2303
sample_000745,car2307
sample_000747,car2310
sample_000748,car2311
sample_000750,car2313
sample_000751,car2323
sample_000753,car2334
sample_000754,car2335
sample_000755,car2340
sample_000756,car2342
sample_000757,car2350
sample_000758,car2351
sample_000759,car2352
sample_000761,car2354
sample_000762,car2360
sample_000763,car2366
sample_000765,car2371
sample_000766,car2373
sample_000767,car2377
sample_000768,car2380
sample_000769,car2381
sample_000770,car2382
sample_000771,car2384
sample_000772,car2385
sample_000773,car2388
sample_000774,car2392
sample_000775,car2395
sample_000776,car2398
sample_000777,car2413
sample_000779,car2421
sample_000780,car2423
sample_000782,car2428
sample_000783,car2431
sample_000784,car2432
sample_000785,car2439
sample_000786,car2440
sample_000788,car2450
sample_000789,car2453
sample_000790,car2464
sample_000791,car2466
sample_000792,car2469
sample_000793,car2470
sample_000795,car2474
sample_000796,car2475
sample_000797,car2477
sample_000798,car2480
sample_000799,car2482
sample_000800,car2487
sample_000802,car2494
sample_000803,car2495
sample_000804,car2497
sample_000806,car2508
sample_000808,car2515
sample_000810,car2522
sample_000811,car2523
sample_000812,car2524
sample_000813,car2525
sample_000814,car2531
sample_000815,car2534
sample_000817,car2548
sample_000818,car2551
sample_000819,car2552
sample_000821,car2555
sample_000822,car2559
sample_000823,car2566
sample_000825,car2574
sample_000826,car2576
sample_000827,car2580
sample_000829,car2584
sample_000831,car2592
sample_000833,car2595
sample_000834,car2600
sample_000835,car2604
sample_000837,car2612
sample_000839,car2618
sample_000841,car2629
sample_000842,car2631
sample_000843,car2636
sample_000845,car2643
sample_000846,car2644
sample_000847,car2645
sample_000848,car2650
sample_000849,car2653
sample_000850,car2655
sample_000852,car2667
sample_000853,car2672
sample_000854,car2673
sample_000855,car2677
sample_000856,car2682
sample_000857,car2683
sample_000858,car2688
sample_000859,car2691
sample_000860,car2694
sample_000863,car2701
sample_000864,car2704
sample_000865,car2708
sample_000866,car2712
sample_000868,car2721
sample_000869,car2724
sample_000871,car2732
sample_000872,car2740
sample_000873,car2741
sample_000874,car2744
sample_000875,car2745
sample_000876,car2747
sample_000877,car2753
sample_000878,car2764
sample_000879,car2771
sample_000880,car2772
sample_000881,car2773
sample_000882,car2777
sample_000883,car2778
sample_000884,car2784
sample_000885,car2789
sample_000889,car2801
sample_000890,car2802
sample_000891,car2807
sample_000892,car2809
sample_000894,car2815
sample_000895,car2816
sample_000896,car2820
sample_000897,car2826
sample_000898,car2829
sample_000899,car2832
sample_000900,car2833
sample_000902,car2840
sample_000904,car2844
sample_000905,car2845
sample_000906,car2850
sample_000907,car2851
sample_000909,car2856
sample_000910,car2858
sample_000911,car2860
sample_000912,car2866
sample_000913,car2867
sample_000914,car2869
sample_000916,car2871
sample_000917,car2872
sample_000918,car2881
sample_000919,car2882
sample_000920,car2885
sample_000921,car2887
sample_000922,car2896
sample_000923,car2897
sample_000924,car2899
sample_000925,car2903
sample_000927,car2905
sample_000928,car2907
sample_000929,car2909
sample_000931,car2924
sample_000932,car2926
sample_000933,car2928
sample_000934,car2934
sample_000935,car2941
sample_000936,car2942
sample_000937,car2949
sample_000939,car2963
sample_000940,car2964
sample_000941,car2968
sample_000942,car2970
sample_000943,car2978
sample_000944,car2981
sample_000945,car2990
sample_000946,car2991
sample_000947,car2999
sample_000950,car3013
sample_000951,car3014
sample_000952,car3017
sample_000953,car3019
sample_000954,car3020
sample_000955,car3027
sample_000956,car3033
sample_000957,car3035
sample_000958,car3044
sample_000959,car3048
sample_000960,car3050
sample_000963,car3057
sample_000964,car3068
sample_000965,car3072
sample_000967,car3081
sample_000968,car3083
sample_000969,car3084
sample_000970,car3088
sample_000971,car3090
sample_000972,car3091
sample_000973,car3096
sample_000974,car3101
sample_000975,car3102
sample_000976,car3103
sample_000977,car3105
sample_000979,car3112
sample_000980,car3114
sample_000981,car3115
sample_000982,car3118
sample_000983,car3119
sample_000985,car3121
sample_000988,car3131
sample_000991,car3146
sample_000992,car3148
sample_000993,car3149
sample_000994,car3151
sample_000996,car3154
sample_000997,car3155
sample_000999,car3158
sample_001000,car3162
sample_001001,car3164
sample_001002,car3170
sample_001003,car3171
sample_001004,car3176
sample_001005,car3178
sample_001006,car3182
sample_001009,car3188
sample_001010,car3189
sample_001011,car3191
sample_001012,car3193
sample_001014,car3200
sample_001016,car3207
sample_001017,car3210
sample_001018,car3211
sample_001019,car3213
sample_001020,car3218
sample_001021,car3224
sample_001024,car3228
sample_001025,car3230
sample_001026,car3233
sample_001027,car3241
sample_001029,car3244
sample_001030,car3251
sample_001031,car3253
sample_001033,car3260
sample_001034,car3263
sample_001035,car3265
sample_001036,car3266
sample_001037,car3268
sample_001038,car3270
sample_001040,car3281
sample_001043,car3286
sample_001044,car3287
sample_001045,car3295
sample_001047,car3304
sample_001048,car3306
sample_001049,car3308
sample_001052,car3317
sample_001053,car3319
sample_001054,car3328
sample_001055,car3329
sample_001057,car3335
sample_001059,car3345
sample_001060,car3351
sample_001061,car3354
sample_001062,car3359
sample_001063,car3363
sample_001064,car3364
sample_001066,car3379
sample_001067,car3380
sample_001068,car3384
sample_001069,car3390
sample_001070,car3391
sample_001071,car3392
sample_001072,car3393
sample_001073,car3397
sample_001074,car3406
sample_001075,car3411
sample_001076,car3413
sample_001077,car3419
sample_001078,car3423
sample_001079,car3428
sample_001080,car3429
sample_001083,car3439
sample_001084,car3445
sample_001085,car3452
sample_001086,car3458
sample_001087,car3459
sample_001088,car3460
sample_001090,car3466
sample_001091,car3475
sample_001093,car3486
sample_001094,car3489
sample_001095,car3492
sample_001096,car3494
sample_001097,car3496
sample_001098,car3505
sample_001100,car3507
sample_001101,car3511
sample_001102,car3516
sample_001103,car3526
sample_001104,car3531
sample_001105,car3538
sample_001106,car3540
sample_001107,car3542
sample_001108,car3543
sample_001109,car3544
sample_001110,car3546
sample_001111,car3552
sample_001112,car3554
sample_001113,car3555
sample_001115,car3566
sample_001116,car3571
sample_001118,car3576
sample_001120,car3582
sample_001121,car3587
sample_001122,car3604
sample_001124,car3614
sample_001125,car3617
sample_001126,car3618
sample_001128,car3627
sample_001129,car3629
sample_001130,car3630
sample_001131,car3631
sample_001132,car3635
sample_001133,car3639
sample_001134,car3642
sample_001135,car3643
sample_001136,car3652
sample_001138,car3660
sample_001139,car3665
sample_001140,car3667
sample_001141,car3677
sample_001142,car3680
sample_001143,car3682
sample_001144,car3685
sample_001145,car3688
sample_001147,car3698
sample_001148,car3701
sample_001149,car3704
sample_001150,car3705
sample_001151,car3706
sample_001152,car3708
sample_001153,car3709
sample_001154,car3731
sample_001155,car3735
sample_001156,car3736
sample_001157,car3741
sample_001159,car3752
sample_001160,car3755
sample_001162,car3758
sample_001163,car3765
sample_001164,car3771
sample_001165,car3773
sample_001166,car3774
sample_001167,car3782
sample_001168,car3793
sample_001169,car3795
sample_001170,car3809
sample_001171,car3814
sample_001172,car3818
sample_001174,car3822
sample_001175,car3826
sample_001176,car3828
sample_001177,car3830
sample_001178,car3834
sample_001180,car3844
sample_001183,car3850
sample_001184,car3851
sample_001185,car3852
sample_001187,car3855
sample_001188,car3856
sample_001189,car3858
sample_001190,car3860
sample_001191,car3863
sample_001192,car3869
sample_001193,car3872
sample_001195,car3878
sample_001196,car3880
sample_001197,car3882
sample_001201,car3892
sample_001202,car3894
sample_001203,car3909
sample_001204,car3916
sample_001205,car3917
sample_001206,car3925
sample_001207,car3928
sample_001208,car3931
sample_001209,car3935
sample_001212,car3945
sample_001213,car3958
sample_001215,car3961
sample_001216,car3966
sample_001217,car3975
sample_001218,car3980
sample_001220,car3987
sample_001221,car3990
sample_001222,car3992
sample_001223,car3998
sample_001224,car3999
sample_001225,car4007
sample_001226,car4013
sample_001227,car4016
sample_001229,car4019
sample_001230,car4020
sample_001231,car4041
sample_001232,car4042
sample_001234,car4053
sample_001235,car4057
sample_001236,car4058
sample_001237,car4062
sample_001239,car4068
sample_001241,car4083
sample_001242,car4091
sample_001243,car4096
sample_001244,car4105
sample_001246,car4109
sample_001247,car4112
sample_001248,car4117
sample_001250,car4123
sample_001251,car4127
sample_001254,car4132
sample_001255,car4135
sample_001256,car4155
sample_001257,car4156
sample_001258,car4157
sample_001260,car4173
sample_001261,car4183
sample_001262,car4188
sample_001263,car4190
sample_001264,car4194
sample_001265,car4199
sample_001266,car4200
sample_001267,car4201
sample_001268,car4202
sample_001269,car4203
sample_001270,car4208
sample_001271,car4217
sample_001272,car4224
sample_001273,car4237
sample_001274,car4238
sample_001276,car4249
sample_001277,car4251
sample_001280,car4266
sample_001282,car4271
sample_001283,car4276
sample_001284,car4292
sample_001285,car4294
sample_001288,car4302
sample_001289,car4305
sample_001290,car4306
sample_001291,car4307
sample_001292,car4308
sample_001293,car4311
sample_001295,car4315
sample_001297,car4329
sample_001298,car4334
sample_001300,car4347
sample_001301,car4351
sample_001302,car4356
sample_001303,car4358
sample_001304,car4363
sample_001305,car4367
sample_001306,car4368
sample_001309,car4379
sample_001310,car4386
sample_001311,car4388
sample_001312,car4391
sample_001313,car4392
sample_001314,car4393
sample_001318,car4409
sample_001319,car4415
sample_001320,car4417
sample_001321,car4428
sample_001323,car4446
sample_001325,car4453
sample_001326,car4455
sample_001327,car4456
sample_001328,car4457
sample_001329,car4461
sample_001330,car4462
sample_001331,car4466
sample_001332,car4473
sample_001333,car4476
sample_001334,car4478
sample_001335,car4481
sample_001336,car4484
sample_001337,car4488
sample_001338,car4495
sample_001339,car4498
sample_001340,car4517
sample_001341,car4518
sample_001342,car4521
sample_001343,car4527
sample_001344,car4529
sample_001345,car4530
sample_001346,car4532
sample_001348,car4534
sample_001350,car4538
sample_001352,car4551
sample_001354,car4575
sample_001355,car4576
sample_001357,car4578
sample_001358,car4579
sample_001359,car4582
sample_001360,car4588
sample_001361,car4589
sample_001364,car4593
sample_001366,car4604
sample_001367,car4606
sample_001368,car4609
sample_001369,car4612
sample_001370,car4614
sample_001372,car4620
sample_001373,car4622
sample_001374,car4623
sample_001375,car4625
sample_001376,car4627
sample_001378,car4635
sample_001380,car4643
sample_001382,car4650
sample_001384,car4657
sample_001385,car4671
sample_001386,car4675
sample_001387,car4677
sample_001388,car4679
sample_001389,car4682
sample_001390,car4685
sample_001391,car4690
sample_001392,car4695
sample_001395,car4702
sample_001397,car4707
sample_001398,car4708
sample_001399,car4709
sample_001400,car4714
sample_001401,car4715
sample_001403,car4721
sample_001404,car4725
sample_001405,car4727
sample_001406,car4732
sample_001407,car4735
sample_001410,car4741
sample_001411,car4748
sample_001412,car4750
sample_001414,car4759
sample_001415,car4764
sample_001416,car4767
sample_001417,car4774
sample_001418,car4781
sample_001419,car4783
sample_001421,car4785
sample_001422,car4790
sample_001423,car4792
sample_001424,car4795
sample_001425,car4796
sample_001426,car4800
sample_001427,car4807
sample_001428,car4810
sample_001429,car4811
sample_001430,car4814
sample_001431,car4816
sample_001432,car4817
sample_001433,car4818
sample_001435,car4821
sample_001436,car4823
sample_001437,car4825
sample_001438,car4826
sample_001439,car4827
sample_001440,car4833
sample_001441,car4837
sample_001443,car4847
sample_001444,car4850
sample_001445,car4853
sample_001446,car4854
sample_001447,car4855
sample_001449,car4861
sample_001450,car4869
sample_001451,car4871
sample_001452,car4873
sample_001453,car4875
sample_001454,car4877
sample_001455,car4880
sample_001456,car4885
sample_001457,car4886
sample_001458,car4888
sample_001459,car4891
sample_001460,car4894
sample_001461,car4901
sample_001462,car4907
sample_001463,car4917
sample_001464,car4924
sample_001466,car4926
sample_001467,car4929
sample_001468,car4930
sample_001469,car4931
sample_001470,car4934
sample_001471,car4937
sample_001472,car4941
sample_001473,car4942
sample_001474,car4943
sample_001475,car4946
sample_001476,car4948
sample_001477,car4949
sample_001478,car4954
sample_001479,car4956
sample_001480,car4960
sample_001481,car4961
sample_001482,car4966
sample_001483,car4967
sample_001484,car4968
sample_001485,car4971
sample_001486,car4972
sample_001487,car4973
sample_001488,car4979
sample_001489,car4981
sample_001490,car4983
sample_001491,car4986
sample_001492,car4987
sample_001493,car4989
sample_001494,car4991
sample_001495,car4993
sample_001496,car5001
sample_001497,car5004
sample_001498,car5007
sample_001500,car5010
sample_001501,car5012
sample_001502,car5020
sample_001503,car5021
sample_001504,car5028
sample_001506,car5032
sample_001509,car5048
sample_001510,car5052
sample_001511,car5053
sample_001512,car5054
sample_001514,car5059
sample_001516,car5065
sample_001517,car5071
sample_001518,car5076
sample_001519,car5082
sample_001520,car5084
sample_001521,car5086
sample_001522,car5087
sample_001523,car5088
sample_001525,car5094
sample_001529,car5103
sample_001533,car5117
sample_001535,car5121
sample_001536,car5122
sample_001537,car5128
sample_001538,car5129
sample_001539,car5130
sample_001541,car5134
sample_001542,car5146
sample_001543,car5148
sample_001546,car5152
sample_001547,car5153
sample_001551,car5161
sample_001554,car5168
sample_001555,car5170
sample_001557,car5174
sample_001558,car5175
sample_001559,car5177
sample_001560,car5180
sample_001562,car5184
sample_001563,car5186
sample_001565,car5192
sample_001566,car5193
sample_001567,car5199
sample_001568,car5200
sample_001570,car5202
sample_001571,car5203
sample_001574,car5207
sample_001575,car5208
sample_001577,car5210
sample_001580,car5218
sample_001581,car5224
sample_001582,car5229
sample_001583,car5236
sample_001585,car5239
sample_001586,car5240
sample_001587,car5244
sample_001588,car5245
sample_001589,car5246
sample_001590,car5249
sample_001591,car5253
sample_001592,car5259
sample_001593,car5264
sample_001597,car5276
sample_001598,car5277
sample_001599,car5278
sample_001600,car5279
sample_001601,car5284
sample_001603,car5291
sample_001604,car5293
sample_001605,car5294
sample_001606,car5297
sample_001607,car5300
sample_001608,car5301
sample_001609,car5305
sample_001611,car5313
sample_001612,car5324
sample_001613,car5328
sample_001614,car5331
sample_001615,car5332
sample_001617,car5336
sample_001618,car5338
sample_001619,car5339
sample_001620,car5342
sample_001622,car5348
sample_001624,car5356
sample_001625,car5357
sample_001627,car5361
sample_001628,car5369
sample_001629,car5370
sample_001631,car5380
sample_001632,car5381
sample_001634,car5385
sample_001635,car5389
sample_001636,car5390
sample_001637,car5392
sample_001638,car5393
sample_001639,car5395
sample_001640,car5396
sample_001641,car5398
sample_001642,car5402
sample_001643,car5404
sample_001644,car5408
sample_001645,car5410
sample_001646,car5412
sample_001647,car5421
sample_001648,car5422
sample_001650,car5430
sample_001651,car5432
sample_001652,car5433
sample_001653,car5436
sample_001654,car5440
sample_001655,car5442
sample_001656,car5447
sample_001657,car5452
sample_001659,car5458
sample_001660,car5461
sample_001662,car5473
sample_001663,car5478
sample_001664,car5479
sample_001665,car5480
sample_001666,car5482
sample_001667,car5488
sample_001668,car5491
sample_001670,car5501
sample_001671,car5502
sample_001673,car5504
sample_001674,car5506
sample_001675,car5508
sample_001676,car5509
sample_001677,car5512
sample_001678,car5513
sample_001680,car5526
sample_001681,car5527
sample_001682,car5534
sample_001683,car5540
sample_001684,car5547
sample_001685,car5549
sample_001686,car5550
sample_001687,car5556
sample_001688,car5557
sample_001689,car5565
sample_001690,car5570
sample_001691,car5573
sample_001692,car5574
sample_001693,car5580
sample_001694,car5585
sample_001695,car5590
sample_001696,car5595
sample_001698,car5597
sample_001699,car5599
sample_001700,car5605
sample_001701,car5606
sample_001702,car5608
sample_001703,car5611
sample_001704,car5613
sample_001705,car5617
sample_001706,car5619
sample_001707,car5620
sample_001708,car5622
sample_001710,car5627
sample_001711,car5628
sample_001712,car5632
sample_001713,car5633
sample_001714,car5636
sample_001715,car5637
sample_001716,car5638
sample_001718,car5643
sample_001719,car5647
sample_001721,car5661
sample_001722,car5663
sample_001723,car5665
sample_001724,car5667
sample_001725,car5670
sample_001727,car5682
sample_001729,car5688
sample_001730,car5689
sample_001731,car5690
sample_001738,car5709
sample_001739,car5710
sample_001740,car5712
sample_001741,car5713
sample_001743,car5729
sample_001744,car5732
sample_001747,car5740
sample_001748,car5741
sample_001749,car5742
sample_001750,car5744
sample_001751,car5745
sample_001752,car5747
sample_001754,car5758
sample_001757,car5764
sample_001758,car5765
sample_001759,car5767
sample_001760,car5768
sample_001761,car5769
sample_001762,car5775
sample_001763,car5776
sample_001764,car5780
sample_001765,car5781
sample_001766,car5785
sample_001767,car5786
sample_001768,car5794
sample_001769,car5798
sample_001770,car5799
sample_001771,car5801
sample_001772,car5802
sample_001773,car5803
sample_001774,car5805
sample_001776,car5810
sample_001777,car5815
sample_001778,car5817
sample_001779,car5820
